State;County;TxMalad;DecesTx;MedAge;naissance;assurPub;PctAfro
Minnesota;Freeborn;453,5494221;164,1;44,75;5,846508564;19,6;0,755915152700297
Maine;Sagadahoc;451,7;173,6;45,1;5,263857504;19;0,549485017101083
Nebraska;Perkins;327,2;147,5;43,6;6,593406593;10,3;0,128216335449833
North Carolina;Jackson;458,4;177,2;36,4;3,120443278;16,2;1,40908951027433
Ohio;Coshocton;459,8;203;41,65;5,832147937;19,7;0,723664659046866
California;Tuolumne;490,8;159,9;48,75;3,962223187;21,3;1,04116123165938
Alabama;Elmore;482,4;193,8;37,9;5,800146592;14,4;3,1009421519666
Texas;Chambers;445,8;183;36,2;5,775206257;16,6;2,19031654193011
Louisiana;Jefferson;499,6;208;37,85;7,155147691;25,3;2,89850736502602
Georgia;Atkinson;403,2;213,5;34,85;5,448065173;24,8;2,90303141849895
Nebraska;Brown;358,2;156;48,4;0,363636364;17;0,0319720327173458
Nebraska;Hall;469,4;160,8;35,95;8,958855626;16,7;1,16241853769739
Tennessee;Henry;479,3;219,1;44,85;4,382650748;24;2,26429908181474
North Dakota;Traill;475,3;158;41,5;4,19412822;10,4;0,458626163144331
South Dakota;Mellette;486,5;240,1;32,3;8,374384236;38,2;0
Alaska;Matanuska-Susitna;469,3;184,3;34,6;4,854021136;15,8;0,691700898197633
Iowa;Davis;427,3;158,6;37,85;8,783008037;15,2;0,187228281606576
North Carolina;Pasquotank;473,4;203,9;37,6;5,029990529;19,5;3,63576558506454
North Carolina;Orange;436,7;157,3;33,3;4,202796852;10,1;2,53964936075847
Virginia;Gloucester;491,8;200,4;43,55;4,308202154;9,7;2,22649683647859
New Jersey;Bergen;468,1;147,3;41,45;4,077070131;11,8;1,92189290069089
Nevada;Washoe;453,5494221;166;37,6;5,642578635;15,6;1,22563595771074
California;Lake;460,1;190,6;45,6;6,718511986;28,4;1,17790896305108
Illinois;Marion;533,4;219,1;41,85;6,338625621;26,1;1,54336884439363
Idaho;Boise;507,4;163,9;51,85;3,703703704;13,9;0,430092772247967
Wisconsin;Rusk;484,9;195,2;47,5;4,399845619;25,3;0,684156547669335
Georgia;Coffee;418,6;189,2;35,4;5,763286469;26,3;3,3757724397341
Oklahoma;Nowata;391,8;189,7;41,5;3,337783712;21,4;1,08877406264096
Arkansas;Arkansas;468,1;201,7;41,1;7,128810226;29,8;3,28409013585836
Florida;St.;414,6;162,4;43,8;5,736951023;24,5;3,01061818358104
Michigan;St.;488;189,5;42,8;4,646092865;17;1,16403904833002
Texas;Bastrop;415,6;181,8;38,75;4,583083383;16,2;2,18460580164327
Kentucky;Harlan;504,8;277,1;40,9;3,257989088;34;1,24772009340488
Alabama;Morgan;472,8;184,9;39,7;4,808108498;17;2,58671663275786
Oregon;Grant;400,3;131,4;51,3;8,146487294;22,2;0,285067332246101
Michigan;Delta;393,1;178,5;46,35;3,887024609;18,8;0,225798554870989
Texas;Erath;388,1;144,8;30,3;5,054084297;15,6;0,900598429614286
Minnesota;Crow;453,5494221;176,7;43,6;6,153360682;20,1;0,494205593439085
Virginia;Essex;433,5;183,4;44,75;1,972920696;17,2;3,73854253051794
Georgia;Cobb;470,3;151,9;36;4,671194475;12,1;3,31474589081611
New Hampshire;Belknap;508,6;182,6;46,05;4,824422651;16,8;0,433764443768134
Michigan;Genesee;514,3;192,1;39,55;4,863978687;25,3;3,06433100571157
North Carolina;Transylvania;396,8;137;50,7;4,726613966;17,1;1,59221068317161
Illinois;Effingham;506,6;180,1;38,85;4,731034483;17,4;0,293258943259267
North Dakota;Grand;462,5;162,5;29,6;5,407811283;10;1,24924640749325
Kentucky;Wayne;480,4;202,2;42,65;6,951992754;30,3;1,17307178007932
Kansas;Trego;453,5494221;177,9;49,1;4,642857143;6,1;0,266188758680331
Texas;Delta;382;184,1;43,2;11,27029608;21,1;2,2713340690126
South Carolina;Greenville;461,7;175,4;37,6;5,183355631;16,5;2,95905443587068
Michigan;Ogemaw;402,9;177;49,15;6,505717916;24,2;0,270788695245717
Maryland;Worcester;499,8;186,8;48,6;5,625635809;21,1;2,71800841113226
Alabama;Coosa;482,9;211,9;45,1;2,504393673;24,2;3,45594785924914
Texas;San;335,8;153,9;43,55;6,763787721;18,2;1,4724533753057
North Dakota;Kidder;336,1;104,8;46,95;6,976744186;14,2;0
Indiana;Noble;416,9;186,5;38,2;6,541519012;14,8;0,39172826015891
Kentucky;Jackson;561,4;261;39,85;6,838709677;32,9;0,0439405829842866
Illinois;Knox;469;180,1;42,45;5,205017787;24,5;2,25118675614236
Vermont;Washington;467,3;165,8;43,2;2,874885005;20,4;0,6246277139635
North Dakota;Barnes;479,1;173,1;42,5;8,043956044;8,9;0,661238589205089
Georgia;Jones;472,1;162,1;39,25;3,929500144;18,6;3,28496770080029
North Carolina;Caldwell;453,4;195,5;42,65;6,057735176;24,6;1,78400341532074
Oregon;Josephine;491,2;199,7;47,95;6,292364753;26,2;0,293929824042042
Washington;Spokane;440,7;171;37,2;5,355835918;21,4;1,03923074468102
West Virginia;Putnam;497,2;171,5;41;6,034482759;15,8;0,916333136975046
New York;Madison;505,4;174,2;40,55;3,238819733;17,2;1,11480043144754
Ohio;Seneca;439;174;39,45;4,557619009;18;1,25264802017478
Colorado;Crowley;389,1;110,7;34,35;10,31111111;37,2;1,83423025686159
New York;Fulton;504,2;183,4;42,9;4,80729036;22,9;0,946528840422295
Texas;Kinney;297,2;179;44,05;0;16,3;0,789422660221506
North Carolina;Catawba;444,3;176,4;40,65;4,107398367;18,5;2,25970878314559
Kansas;Elk;453,5494221;215,9;50,65;3,050108932;20,3;0,578132393141355
Kansas;Shawnee;453,5494221;171,6;38,75;5,852417303;14,5;2,18312047962803
Alaska;Dillingham;409,2;216,6;29,75;11,80124224;30,2;0,29373920816086
Montana;Granite;348,1;113,2;53,8;18,55670103;15,9;0,0612186223043854
Kentucky;Rowan;540,5;235,2;31,95;4,886769964;20,5;0,9942929367371
Missouri;Marion;517,2;188,8;39,75;4,673182651;18,1;1,89071951772635
South Dakota;Gregory;521,9;169,4;47,25;10,70422535;20;0,111823259865392
Colorado;Broomfield;417,3;158,4;37,35;5,099793071;9,5;0,693978808661416
North Carolina;Alleghany;452,5;157,1;47,15;5,062082139;21;1,15440009593363
Wyoming;Albany;397,6;128,4;26,55;4,074920055;9,1;0,824371575046985
Texas;Brown;427,7;188,4;40,75;2,5472273;19,3;1,66879392925256
Ohio;Adams;493,1;217,2;40,85;4,079365079;31;0,323955141480925
Virginia;Arlington;369,7;136,5;33,9;5,34181797;4,2;2,24661219177976
Michigan;Macomb;506,5;177,8;40,75;4,707995158;15;2,42377748352292
South Dakota;Pennington;442,5;159,7;37,25;5,830321072;15,7;0,825461237469418
Missouri;Douglas;317,9;166,5;47;6,128904705;25,3;0,057503623859224
North Carolina;Franklin;472,1;183,4;40,5;3,545493379;20,9;3,2844187212021
South Carolina;Saluda;383;160,1;41,05;3,467781604;22,1;3,30431930668567
Montana;Park;459,2;140,9;46,7;3,270009343;14,2;0,4366353775817
Missouri;Bates;454,5;211,1;42,25;4,212348529;17,1;0,412589820295232
Montana;Jefferson;445,4;185,5;47,7;4,111531191;11,8;0,137847400373896
Minnesota;Lyon;453,5494221;163;35,15;5,799293999;15,3;1,36766793581686
Indiana;Benton;414,4;173,4;39,9;7,146666667;20,5;0,612761635457706
Iowa;Carroll;443,1;176,6;42,35;4,378496716;12,6;0,925103402768262
Kentucky;Cumberland;562,7;185,7;44,7;2,826379542;26,1;1,37814459707545
Illinois;Jersey;438,7;175,9;42,1;3,045785027;13,5;0,35368705905307
Missouri;Franklin;475,2;180;40,2;5,593582421;16,5;0,710051844185295
Illinois;Union;506;206,9;42,75;5,211459754;25,7;0,924767041842614
Iowa;Benton;445,9;163,2;41,2;6,183093392;11,8;0,531491890371299
Kansas;Wallace;453,5494221;175,5;41,1;8,333333333;11,2;0
Ohio;Huron;463,7;206,3;38,65;4,663965135;19,2;0,755334563687396
Pennsylvania;Westmoreland;476,6;175,3;45,95;3,999144854;14,7;1,21288601805406
Ohio;Clermont;479,5;178,7;39,4;5,170612813;14,9;0,873179794304677
Illinois;Sangamon;515,2;185,5;39,45;4,889917894;18,6;2,5921381278536
Arkansas;Pulaski;472,3;182,7;36,35;5,116648446;19,7;3,60281659377649
California;Marin;475;135,2;45,3;5,448237059;12,5;1,26641324496859
Tennessee;Moore;408,9;137,3;45,45;0,702028081;12,5;1,58055688391804
Pennsylvania;Luzerne;500;181,1;42,75;5,103967071;18,1;1,59712859467793
Indiana;Wells;412,6;157;41;5,617591479;15,2;0,525170366221753
Kentucky;Boyle;492,9;179,1;40,8;4,910307084;21,7;2,06954174032878
Nevada;Esmeralda;453,5494221;262,1;45,25;4,326923077;16,5;0
Missouri;St.;513,8;216,8;39,1;4,612961296;18,9;1,75511685703472
Alabama;Bullock;488,8;176,2;39,25;4,138851802;28,9;4,27257616571467
Mississippi;Yalobusha;561,9;235,8;41,4;5,540488183;25,7;3,7049856228684
Oregon;Wasco;444,1;185,4;41,1;5,246743717;20,9;0,50859498754583
Florida;Madison;293,5;166,9;41,85;11,91053624;24,6;3,68160359638955
Mississippi;Madison;460,5;292,5;36,6;4,789430223;13,5;3,6696395415791
North Dakota;Cavalier;406,8;170,7;50,65;7,1197411;8,1;0,0742915766545268
Texas;Schleicher;412,8;205,8;35,65;5,007153076;12,4;0,0889738832638305
Idaho;Payette;457,5;166;38,45;8,451001054;18;0,358875165076027
Georgia;Taliaferro;464,8;234,9;47,15;0,56980057;22,1;4,09202733368727
Kentucky;Letcher;527,4;226,5;41,9;5,618408437;34,6;0,174042409876359
Oklahoma;Coal;372;195,8;41,8;4,588744589;22,3;0,393231833801512
Indiana;Perry;451,1;208,1;41,3;5,856832972;15,5;1,3985553453562
Michigan;Alcona;408,2;177;56,6;2,960526316;18,7;0,242853246449193
South Carolina;Sumter;474,9;185,2;35,8;6,42352298;23,1;3,85700545998731
North Carolina;Lenoir;524,4;194;41,9;6,174096999;24,7;3,71953748668913
Illinois;DeKalb;485,5;171,7;30,4;4,533178353;16;2,06870438782387
Missouri;Pulaski;521,6;196;27,35;5,283078379;12,9;2,57694461962676
Tennessee;Lincoln;421,9;193;42,75;6,664803689;20,8;1,82474157195118
New Mexico;Santa;374,3;126,1;44,45;4,017424976;19,7;0,577208026783052
Mississippi;Issaquena;448,4;257,8;44,1;5,23255814;32,7;4,19182359699557
Minnesota;St.;453,5494221;184,8;41,05;4,901104316;16,9;0,93475408431062
North Dakota;Sargent;579,7;188,2;45,3;6,284916201;5;0,734361457647332
Nebraska;Knox;461,2;161,7;47,45;6,866666667;15,8;0,0677766106748793
Virginia;Brunswick;463,4;165,3;43,45;4,689366786;22,5;4,03923054623484
Minnesota;Morrison;453,5494221;169,5;41,25;5,734925549;18,8;0,433760699890238
Wyoming;Teton;402,7;136,9;38,05;1,745232098;5,5;0,279683244452642
New York;Suffolk;528;163,8;40,55;4,419518742;12;2,15898255702682
Missouri;Monroe;422,7;140,3;44,95;4,179104478;18,8;1,31651941969953
Oklahoma;Choctaw;445,2;225,5;41,7;6,960408685;26,4;2,52052996978621
Pennsylvania;Allegheny;501,2;182,1;40,85;5,044224477;14;2,63953383392619
Washington;Cowlitz;455,5;184,1;41,35;6,298743004;24;0,482127167516673
Nebraska;Douglas;476,6;179,7;34,05;5,925782154;14,8;2,50770707494634
Illinois;Vermilion;520,2;203,1;40,05;5,395305384;24,1;2,6971643007737
Minnesota;Lake;453,5494221;172,7;50;5,924855491;19,4;0,458959068885511
Alaska;North;501,1;256,9;32,35;10,6333527;12,4;0,508049455374087
West Virginia;Nicholas;455,5;199,8;43,5;3,346456693;23,5;0,0341200644333631
Utah;Tooele;489,9;146,7;30,65;6,916426513;8;0,473734774234039
Michigan;Leelanau;372,9;132,5;52,3;5,887253541;13,9;0,453703953980383
North Dakota;Sheridan;374,8;124,8;52,05;4,95049505;23,3;0
Pennsylvania;Washington;482,5;186,3;44,05;4,918324654;13,3;1,37302633840338
Arizona;Maricopa;401,4;146,6;35,65;5,392191187;19,8;1,82793768222584
North Carolina;Hertford;434,1;184,3;41,5;5,896994065;27;4,08340178246773
California;Santa;420;135;36,85;5,541784514;14,2;1,27703240222021
Alabama;Wilcox;500,5;221,7;39,85;4,996127033;35;4,29080078178916
New Mexico;Catron;375,5;164,7;57,1;0,689655172;13,1;0,512721676321749
Georgia;Pickens;512,6;176,4;44,85;5,382482466;15,8;0,894398498519135
Minnesota;Lincoln;453,5494221;146,8;46,75;5,539070228;12,2;0,321204764644271
Nevada;White;453,5494221;188,4;39,35;5,470459519;13,7;1,64303596242447
Virginia;Falls;447,7;137,6;37,85;3,066180935;2,7;1,13992709837501
Tennessee;Haywood;457,4;183,7;39,35;4,488542405;26,4;3,91884753903358
West Virginia;Pocahontas;384,8;176,8;48,45;4,256631709;23;0,909576277493056
Texas;Hansford;448;129,1;36,4;6,825657895;16,1;0,118602191612069
Minnesota;Nobles;453,5494221;138,1;36,6;7,86717183;18,1;1,60622345579961
Mississippi;Bolivar;476,3;241,9;34,6;4,919773478;32,4;4,17502788173697
New Mexico;Roosevelt;360,7;163,5;29,4;4,392712551;25,2;1,25175784238246
Oklahoma;Muskogee;483,4;211,7;37,7;6,694613026;23,2;2,49192608166403
Wisconsin;Sawyer;483,8;208,5;49,35;4,272316777;27,4;0,525687637482352
Ohio;Lucas;370,7;196,2;37,75;5,157532738;22,4;2,9875895014867
Florida;Hillsborough;474,5;168,9;36,55;4,752577535;19,7;2,86988663712095
Arizona;Yuma;343;126,8;34,05;6,284513403;26,3;1,13730794733774
Nebraska;Lancaster;425,9;153,5;32,95;6,17570233;11,7;1,60949158779355
Missouri;Howard;398,7;150;38,85;6,633574007;18,1;1,81745286964368
Iowa;Woodbury;469,7;176,4;35,35;6,360617144;19,2;1,33272957648219
Montana;Phillips;456,8;151,2;47,35;9,448818898;13,6;0
Pennsylvania;Beaver;476,1;180,2;44,75;4,491424455;16,8;1,95444747076568
New Jersey;Hunterdon;496,3;145,1;44,8;4,22223833;7,1;1,27574991513884
New Jersey;Middlesex;466,7;156,7;37,75;5,074989438;12,1;2,38352605281061
Nevada;Lyon;453,5494221;195,7;43,25;4,62962963;19,1;0,661114309743152
New Mexico;Grant;366,5;159,4;46,35;5,998550199;30,3;0,48973874874861
California;Inyo;408,4;138,1;46,1;4,535082715;18,5;0,725993185191806
Florida;Wakulla;456,7;209,3;39,9;2,534634761;17,7;2,80183277046118
Nebraska;Washington;431,4;159,2;41,25;5,725611099;8,3;0,516594605544679
Kentucky;Mercer;536,1;206,3;42,7;5,675616678;20,6;1,561763234948
Oregon;Lane;418,7;169,1;39,3;4,213583027;19,8;0,734620953666382
Florida;Hardee;422,3;161,9;34,8;6,773043626;34,9;2,19339868303839
Michigan;Bay;448,2;182,3;42,35;5,244463933;18,7;0,855840887308287
Indiana;Monroe;428,7;168,5;28,45;3,932688732;11;1,36820384273344
West Virginia;Mineral;456,6;198,4;43,25;7,391231312;23,3;1,42199427077175
Kentucky;Garrard;516,6;204,6;42,05;5,567338282;21,9;0,820829739618204
Minnesota;Scott;453,5494221;153,9;35,55;6,064705544;8;1,37150101287461
Illinois;LaSalle;519,9;191,3;41,75;4,843425569;19,4;1,24141147134702
New York;Tioga;503,6;160,5;43,25;6,184505988;16,5;0,560193321702115
South Carolina;Darlington;451,3;206,8;40,6;6,092582124;24,6;3,72865452415996
